               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055699,            0.049755,            0.071647,             0.37373,             0.14579,            0.067731,            0.034338,            0.026187,            0.021828,             0.04798,            0.070004,           0.0033329,           0.0033329
                   1,            0.043598,            0.048836,            0.058561,             0.31583,             0.22661,             0.13175,            0.067831,            0.026993,            0.022747,            0.039757,            0.039938,           0.0066003,           0.0066003
                   2,            0.043663,            0.048369,             0.05219,              0.2568,             0.23037,             0.14652,            0.066619,            0.027298,            0.023328,            0.037281,           0.0098056,           0.0098016,           0.0098016
                   3,            0.043393,             0.04895,            0.049853,             0.28424,             0.27667,             0.18359,            0.090751,            0.027715,            0.022925,            0.032975,            0.009703,            0.009703,            0.009703
                   4,            0.042433,            0.049336,             0.04656,             0.35631,             0.26801,             0.23233,             0.12457,            0.026663,            0.023681,            0.031798,            0.009703,            0.009703,            0.009703
                   5,             0.04154,            0.048242,            0.044569,             0.28497,             0.30707,             0.25194,              0.1338,            0.026914,            0.022988,            0.030235,            0.009604,            0.009604,            0.009604
                   6,            0.041138,            0.048397,            0.041984,             0.36923,             0.32442,             0.27631,             0.14685,            0.027181,            0.023378,            0.028742,            0.009505,            0.009505,            0.009505
                   7,            0.040921,            0.048624,            0.040172,             0.38672,              0.3365,             0.30919,             0.17177,            0.025784,            0.022519,            0.027254,            0.009406,            0.009406,            0.009406
                   8,            0.040445,            0.047839,            0.039114,             0.34409,             0.36071,             0.30008,             0.16312,            0.027059,            0.023365,             0.02665,            0.009307,            0.009307,            0.009307
                   9,            0.040077,            0.047795,            0.038021,             0.38059,             0.35139,             0.31966,             0.17551,            0.027876,            0.023117,              0.0252,            0.009208,            0.009208,            0.009208
                  10,            0.039958,            0.047641,            0.036829,             0.40758,             0.37898,             0.34215,             0.18762,            0.026646,            0.022542,            0.025331,            0.009109,            0.009109,            0.009109
                  11,            0.039714,             0.04727,             0.03599,             0.39079,             0.38898,             0.35533,              0.2002,            0.026873,             0.02267,             0.02395,             0.00901,             0.00901,             0.00901
